number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_312_BM1269M_11Aug16_R1.txt,CU_CO_312,15946,0,BM1269M,NA,8/9/2016 8:49,0.275,1,2,2,,2,>36 hrs flatline,CO
2,CU_CO_312_BM0317M_16Sep16_R1.txt,CU_CO_312,15946,12.35294118,BM0317M,NA,9/14/2016 9:41,0.275,1,2,2,,1,,CO
3,CU_CO_312_BM0323M_05OCT16_R1.txt,CU_CO_312,15946,0.117647059,BM0323M,NA,10/3/2016 9:09,0.275,1,2,1,,1,,CO
4,CU_CO_312_BM1242M_10OCT16_R1.txt,CU_CO_312,15946,2.941176471,BM1242M,NA,10/7/2016 8:42,0.275,1,2,1,,1,,CO
5,CU_CO_312_BM0331M_09JAN17_R1.txt,CU_CO_312,15946,4.31372549,BM0331M,NA,1/6/2017 9:33,0.275,1,2,1,,1,,CO
6,CU_CO_312_BM1059M_13JAN17_R1.txt,CU_CO_312,15946,0,BM1059M,NA,1/11/2017 8:49,0.275,1,2,1,,1,,CO
7,CU_CO_312_BM1325M_23JAN17M_R1.txt,CU_CO_312,15946,11.76470588,BM1325M,NA,1/20/2017 8:37,0.275,1,2,1,,1,,CO
8,CU_CO_312_BM1556M_2FEB17_R1.txt,CU_CO_312,15946,7.058823529,BM1556M,NA,1/31/2017 9:19,0.275,3,2,1,,3,ski slope,CO
9,CU_CO_312_BM1501M_6FEB17_R1.txt,CU_CO_312,15946,3.431372549,BM1501M,NA,2/3/2017 12:04,0.275,1,2,1,,2,>36 hrs flatline,CO
10,CU_CO_312_BM0450M_10FEB17_R1.txt,CU_CO_312,15946,18.23529412,BM0450M,NA,2/8/2017 8:58,0.275,1,2,1,,1,,CO
11,CU_CO_312_BM1479M_14FEB17_R1.txt,CU_CO_312,15946,0.68627451,BM1479M,NA,2/12/2017 6:49,0.275,1,2,1,,1,,CO
