number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_323_BM1182M_28SEP16_R1.txt,CU_CO_323,16010,0,BM1182M,NA,9/26/2016 8:50,0.626,1,1,2,,1,,CO
2,CU_CO_323_BM1344M_05OCT16_R1.txt,CU_CO_323,16010,0,BM1344M,NA,10/3/2016 7:22,0.626,1,1,2,,1,,CO
3,CU_CO_323_BM0934M_12OCT16_R1.txt,CU_CO_323,16010,0,BM0934M,NA,10/10/2016 9:38,0.626,1,1,1,,1,,CO
4,CU_CO_323_BM0580M_17OCT16_R1.txt,CU_CO_323,16010,0,BM0580M,NA,10/14/2016 10:11,0.626,1,1,2,,1,,CO
5,CU_CO_323_BM0696M_20OCT16_R1.txt,CU_CO_323,16010,0,BM0696M,NA,10/18/2016 8:10,0.626,1,1,2,,1,,CO
6,CU_CO_323_BM0284M_27OCT16_R1.txt,CU_CO_323,16010,0,BM0284M,NA,10/25/2016 7:46,0.626,1,1,2,,1,,CO
7,CU_CO_323_BM0268M_02NOV16_R1.txt,CU_CO_323,16010,0,BM0268M,NA,10/31/2016 8:25,0.626,1,1,1,,1,,CO
8,CU_CO_323_BM0636M_07NOV16_R1.txt,CU_CO_323,16010,0,BM0636M,NA,11/4/2016 8:47,0.626,1,1,1,,1,,CO
9,CU_CO_323_BM1105M_10NOV16_R1.txt,CU_CO_323,16010,0,BM1105M,NA,11/8/2016 7:14,0.626,1,1,2,,1,,CO
10,CU_CO_323_BM0088M_14NOV16_R1.txt,CU_CO_323,16010,0,BM0088M,NA,11/11/2016 7:51,0.626,1,1,2,,2,>36 hrs flatline,CO
11,CU_CO_323_BM1308M_17NOV16_R1.txt,CU_CO_323,16010,6.656017039,BM1308M,NA,11/15/2016 10:58,0.626,1,1,1,,1,,CO
12,CU_CO_323_BM0786M_23NOV16_R1.txt,CU_CO_323,16010,0,BM0786M,NA,11/21/2016 7:22,0.626,1,1,1,,1,,CO
13,CU_CO_323_BM0462M_28NOV16_R1.txt,CU_CO_323,16010,0,BM0462M,NA,11/25/2016 8:30,0.626,1,1,2,,2,>36 hrs flatline,CO
14,CU_CO_323_BM1263M_19DEC16_R1.txt,CU_CO_323,16010,0,BM1263M,NA,12/16/2016 9:37,0.626,1,1,1,,1,,CO
15,CU_CO_323_BM0777M_12JAN17_R1.txt,CU_CO_323,16010,1.597444089,BM0777M,NA,1/10/2017 10:37,0.626,1,1,2,,1,,CO
16,CU_CO_323_BM1467M_03FEB17_R1.txt,CU_CO_323,16010,0,BM1467M,NA,2/1/2017 8:24,0.626,3,1,2,,3,no data,CO
17,CU_CO_323_BM0845M_10FEB17_R1.txt,CU_CO_323,16010,0,BM0845M,NA,2/8/2017 10:41,0.626,3,1,1,,1,,CO
