number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_338_BM0090M_3Aug16_R1.txt,CU_CO_338,16100,3.048780488,BM0090M,NA,8/1/2016 10:43,0.902,3,1,1,,3,"erratic, short duration, elevated baseline",CO
2,CU_CO_338_BM1271M_17Aug16_R1.txt,CU_CO_338,16100,0,BM1271M,NA,8/15/2016 9:46,0.902,1,1,1,,1,,CO
3,CU_CO_338_BM0941M_16SEP16_R1.txt,CU_CO_338,16100,0,BM0941M,NA,9/14/2016 7:43,0.902,1,1,1,,2,>36 hrs flatline,CO
4,CU_CO_338_BM0689M_07OCT16_R1.txt,CU_CO_338,16100,0,BM0689M,NA,10/5/2016 9:43,0.902,1,1,1,,2,>36 hrs flatline,CO
5,CU_CO_338_BM0247M_27OCT16_R1.txt,CU_CO_338,16100,0,BM0247M,NA,10/25/2016 10:40,0.902,1,1,2,,2,>36 hrs flatline,CO
6,CU_CO_338_BM0427M_31OCT16_R1.txt,CU_CO_338,16100,0,BM0427M,NA,10/28/2016 9:53,0.902,1,1,2,,2,>36 hrs flatline,CO
7,CU_CO_338_BM0259M_03NOV16_R1.txt,CU_CO_338,16100,0,BM0259M,NA,11/1/2016 10:14,0.902,1,1,2,,3,only flatline,CO
8,CU_CO_338_BM-674M_07NOV16_R1.txt,CU_CO_338,16100,0,BM-674M,NA,11/4/2016 11:15,0.902,1,1,2,,3,only flatline,CO
9,CU_CO_338_BM0296M_07DEC16_R1.txt,CU_CO_338,16100,0,BM0296M,NA,12/5/2016 7:10,0.902,1,1,2,,3,"high peak, o/w flatline",CO
10,CU_CO_338_BM1122M_16DEC16_R1.txt,CU_CO_338,16100,0,BM1122M,NA,12/14/2016 8:16,0.902,1,1,2,,3,only flatline,CO
11,CU_CO_338_BM1167M_21DEC16_R1.txt,CU_CO_338,16100,0,BM1167M,NA,12/19/2016 8:24,0.902,1,1,2,,3,only flatline,CO
12,CU_CO_338_BM1172M_11JAN17_R1.txt,CU_CO_338,16100,0,BM1172M,NA,1/9/2017 8:37,0.902,1,1,2,,3,only flatline,CO
13,CU_CO_338_BM0979M_19JAN17_R1.txt,CU_CO_338,16100,0,BM0979M,NA,1/17/2017 10:16,0.902,3,1,2,,3,only flatline,CO
14,CU_CO_338_BM0740M_23JAN17_R1.txt,CU_CO_338,16100,0,BM0740M,NA,1/20/2017 9:12,0.902,1,1,2,,3,only flatline,CO
15,CU_CO_338_BM0537M_26JAN17_R1.txt,CU_CO_338,16100,0,BM0537M,NA,1/24/2017 8:56,0.902,1,1,2,,3,only flatline,CO
16,CU_CO_338_BM0183M_30JAN17_R1.txt,CU_CO_338,16100,0,BM0183M,NA,1/27/2017 9:05,0.902,1,1,2,,3,only flatline,CO
17,CU_CO_338_BM1471M_2FEB17_R1.txt,CU_CO_338,16100,0,BM1471M,NA,1/31/2017 8:27,0.902,1,1,2,,3,only flatline,CO
18,CU_CO_338_BM1310M_08FEB17_R1.txt,CU_CO_338,16100,0,BM1310M,NA,2/6/2017 10:02,0.902,1,1,2,,3,only flatline,CO
