number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_294_BM0688M_13OCT16_R1.txt,CU_CO_294,15873,0,BM0688M,NA,10/11/2016 7:46,0.441,1,2,1,,1,,CO
2,CU_CO_294_BM0519M_17OCT16_R1.txt,CU_CO_294,15873,2.352941176,BM0519M,NA,10/14/2016 8:54,0.441,1,2,1,,1,,CO
3,CU_CO_294_BM0862M_20OCT16_R1.txt,CU_CO_294,15873,1.764705882,BM0862M,NA,10/18/2016 9:06,0.441,1,2,1,,1,,CO
4,CU_CO_294_BM1394M_24Oct16_R1.txt,CU_CO_294,15873,2.843137255,BM1394M,NA,10/21/2016 9:03,0.441,1,2,1,,1,,CO
5,CU_CO_294_BM0943M_27OCT16_R1.txt,CU_CO_294,15873,0.882352941,BM0943M,NA,10/25/2016 7:28,0.441,1,2,1,,1,,CO
6,CU_CO_294_BM1294M_31OCT16_R1.txt,CU_CO_294,15873,0.588235294,BM1294M,NA,10/28/2016 8:14,0.441,1,2,1,,1,,CO
7,CU_CO_294_BM0577M_03NOV16_R1.txt,CU_CO_294,15873,0,BM0577M,NA,11/1/2016 8:28,0.441,1,2,1,,1,,CO
8,CU_CO_294_BM1238M_07NOV16_R1.txt,CU_CO_294,15873,0.392156863,BM1238M,NA,11/4/2016 8:11,0.441,1,2,1,,1,,CO
9,CU_CO_294_BM0629M_10NOV16_R1.txt,CU_CO_294,15873,0.294117647,BM0629M,NA,11/8/2016 7:54,0.441,1,2,1,,1,,CO
10,CU_CO_294_BM0386M_14NOV16_16_R1.txt,CU_CO_294,15873,0.490196078,BM0386M,NA,11/11/2016 8:15,0.441,1,2,1,,1,,CO
11,CU_CO_294_BM1157M_17NOV16_R1.txt,CU_CO_294,15873,0,BM1157M,NA,11/15/2016 9:11,0.441,1,2,1,,1,,CO
12,CU_CO_294_BM1153M_28NOV16_R1.txt,CU_CO_294,15873,0.294117647,BM1153M,NA,11/25/2016 10:35,0.441,1,2,1,,1,,CO
13,CU_CO_294_BM1121M_16DEC16_R1.txt,CU_CO_294,15873,1.764705882,BM1121M,NA,12/14/2016 7:32,0.441,1,2,1,,1,,CO
14,CU_CO_294_BM0661M_21DEC16_R1.txt,CU_CO_294,15873,0.392156863,BM0661M,NA,12/19/2016 7:31,0.441,1,2,1,,1,,CO
15,CU_CO_294_BM0901M_09JAN17_R1.txt,CU_CO_294,15873,0,BM0901M,NA,1/6/2017 8:08,0.441,1,2,1,,1,,CO
16,CU_CO_294_BM0729M_12JAN17_R1.txt,CU_CO_294,15873,0.294117647,BM0729M,NA,1/10/2017 9:15,0.441,1,2,1,,1,,CO
17,CU_CO_294_BM1143M_16JAN17_R1.txt,CU_CO_294,15873,0,BM1143M,NA,1/13/2017 10:41,0.441,1,2,1,,1,,CO
18,CU_CO_294_BM1258M_20JAN17_R1.txt,CU_CO_294,15873,0,BM1258M,NA,1/18/2017 9:45,0.441,1,2,1,,1,,CO
19,CU_CO_294_BM1509M_03FEB17_R1.txt,CU_CO_294,15873,0,BM1509M,NA,2/1/2017 7:58,0.441,1,2,1,,1,,CO
20,CU_CO_294_BM0240M_09FEB17_R1.txt,CU_CO_294,15873,0.294117647,BM0240M,NA,2/7/2017 7:41,0.441,1,2,1,,1,,CO
21,CU_CO_294_BM1008M_13FEB17_R1.txt,CU_CO_294,15873,0,BM1008M,NA,2/10/2017 8:44,0.441,1,2,1,,1,,CO
