number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_317_BM0820M_07DEC16_R1.txt,CU_CO_317,16090,0,BM0820M,NA,12/5/2016 8:55,0.737,1,1,2,,2,>36 hrs flatline,CO
2,CU_CO_317_BM0613M_09JAN17_R1.txt,CU_CO_317,16090,0,BM0613M,NA,1/6/2017 9:34,0.737,3,1,2,,3,flatline,CO
3,CU_CO_317_BM0851M_12JAN17_R1.txt,CU_CO_317,16090,0,BM0851M,NA,1/10/2017 9:48,0.737,1,1,2,,2,>36 hrs flatline,CO
4,CU_CO_317_BM0334M_6FEB17_R1.txt,CU_CO_317,16090,0,BM0334M,NA,2/3/2017 11:22,0.737,1,1,1,,2,>36 hrs flatline,CO
5,CU_CO_317_BM0345M_09FEB17_R1.txt,CU_CO_317,16090,0.678426052,BM0345M,NA,2/7/2017 7:45,0.737,3,1,1,,2,>36 hrs flatline,CO
6,CU_CO_317_BM0242M_13FEB17_R1.txt,CU_CO_317,16090,0,BM0242M,NA,2/10/2017 8:11,0.737,1,1,2,,1,,CO
