number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_217_BM1011M_06JAN17_R1.txt,CU_CO_217,14384,0.980392157,BM1011M,NA,1/4/2017 10:58,0.03,1,3,1,,3,,CO
2,CU_CO_217_BM0788M_11JAN17_R1.txt,CU_CO_217,14384,1.058823529,BM0788M,NA,1/9/2017 8:27,0.03,1,3,1,,3,,CO
3,CU_CO_217_BM1487M_08FEB17_R1.txt,CU_CO_217,14384,0.735294118,BM1487M,NA,2/6/2017 8:27,0.03,1,3,1,,3,,CO
4,CU_CO_217_BM0788M_13FEB17_R1.txt,CU_CO_217,14384,0.588235294,BM0788M,NA,2/10/2017 9:04,0.03,3,3,1,,3,,CO
