number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_003_BM0612M_11Aug16_R1.txt,CU_CO_003,13003,0,BM0612M,NA,8/9/2016 8:19,0.532,1,2,1,,1,,CO
2,CU_CO_003_BM1222M_17Aug16_R1.txt,CU_CO_003,13003,4.117647059,BM1222M,NA,8/15/2016 7:27,0.532,1,2,1,,1,,CO
3,CU_CO_003_BM0953M_19Sep16_R1.txt,CU_CO_003,13003,0.588235294,BM0953M,NA,9/16/2016 9:46,0.532,1,2,1,,1,,CO
4,CU_CO_003_BM1279M_05OCT16_R1.txt,CU_CO_003,13003,0.294117647,BM1279M,NA,10/3/2016 9:27,0.532,1,2,1,,1,,CO
5,CU_CO_003_BM0576M_13OCT16_R1.txt,CU_CO_003,13003,0.588235294,BM0576M,NA,10/11/2016 8:34,0.532,1,2,1,,1,,CO
6,CU_CO_003_BM0633M_17OCT16_R1.txt,CU_CO_003,13003,0,BM0633M,NA,10/14/2016 10:42,0.532,1,2,1,,1,,CO
7,CU_CO_003_BM0918M_20OCT16_R1.txt,CU_CO_003,13003,1.764705882,BM0918M,NA,10/18/2016 8:54,0.532,1,2,1,,1,,CO
8,CU_CO_003_BM1194M_24Oct16_R1.txt,CU_CO_003,13003,4.411764706,BM1194M,NA,10/21/2016 9:11,0.532,1,2,1,,1,,CO
9,CU_CO_003_BM1069M_02NOV16_R1.txt,CU_CO_003,13003,0.490196078,BM1069M,NA,10/31/2016 8:43,0.532,1,2,1,,1,,CO
10,CU_CO_003_BM0890M_07NOV16_R1.txt,CU_CO_003,13003,1.568627451,BM0890M,NA,11/4/2016 10:31,0.532,1,2,1,,1,,CO
11,CU_CO_003_BM1035M_16DEC16_R1.txt,CU_CO_003,13003,0.882352941,BM1035M,NA,12/14/2016 7:18,0.532,3,2,1,,3,,CO
