number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_315_BM0621M_27Jul16_R1.txt,CU_CO_315,16089,4.394861393,BM0621M,NA,7/25/2016 14:00,0.986,1,1,1,,1,,CO
2,CU_CO_315_BM1430M_Aug16_R1.txt,CU_CO_315,16089,11.663286,BM1430M,NA,8/9/2016 7:33,0.986,1,1,1,,1,,CO
3,CU_CO_315_BM0522M_15Aug16_R1.txt,CU_CO_315,16089,3.887762001,BM0522M,NA,8/12/2016 8:18,0.986,1,1,1,,1,,CO
4,CU_CO_315_BM0397M_18Aug16_R1.txt,CU_CO_315,16089,1.926977688,BM0397M,NA,8/16/2016 8:43,0.986,1,1,1,,1,,CO
5,CU_CO_315_BM0319M_15Sep16_R1.txt,CU_CO_315,16089,2.112914131,BM0319M,NA,9/13/2016 8:41,0.986,1,1,1,,1,,CO
6,CU_CO_315_BM1021M_26SEP16_R1.txt,CU_CO_315,16089,9.229208925,BM1021M,NA,9/23/2016 8:37,0.986,1,1,1,,1,,CO
7,CU_CO_315_BM0492M_05OCT16_R1.txt,CU_CO_315,16089,0.16903313,BM0492M,NA,10/3/2016 8:04,0.986,1,1,1,,1,,CO
8,CU_CO_315_BM1093M_10OCT16_R1.txt,CU_CO_315,16089,2.535496957,BM1093M,NA,10/7/2016 9:13,0.986,1,1,1,,1,,CO
