number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_255_BM1245M_12OCT16_R1.txt,CU_CO_255,15029,0,BM1245M,NA,10/10/2016 8:13,0.07,1,3,1,,2,>36 hrs flatline,CO
2,CU_CO_255_BM0794M_26Oct16_R1.txt,CU_CO_255,15029,0,BM0794M,NA,10/24/2016 7:28,0.07,1,3,1,,1,,CO
3,CU_CO_255_BM1249M_17NOV16_R1.txt,CU_CO_255,15029,0,BM1249M,NA,11/15/2016 9:12,0.07,1,3,1,,1,,CO
4,CU_CO_255_BM1224M_21NOV16_R1.txt,CU_CO_255,15029,0,BM1224M,NA,11/18/2016 7:51,0.07,1,3,2,,2,>36 hrs flatline,CO
5,CU_CO_255_BM0465M_28NOV16_R1.txt,CU_CO_255,15029,0,BM0465M,NA,11/25/2016 9:14,0.07,1,3,2,,1,,CO
6,CU_CO_255_BM1202M_21DEC16_R1.txt,CU_CO_255,15029,0,BM1202M,NA,12/19/2016 8:53,0.07,1,3,1,,1,,CO
