number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_226_BM1368M_09JAN17_R1.txt,CU_CO_226,15074,0,BM1368M,NA,1/6/2017 9:32,0.37,1,2,1,,1,,CO
2,CU_CO_226_BM0731M_13JAN17_R1.txt,CU_CO_226,15074,0.882352941,BM0731M,NA,1/10/2017 12:25,0.37,1,2,1,,1,,CO
3,CU_CO_226_BM0413M_19JAN17_R1.txt,CU_CO_226,15074,0,BM0413M,NA,1/17/2017 7:50,0.37,1,2,1,,1,,CO
4,CU_CO_226_BM0965M_23JAN17_R1.txt,CU_CO_226,15074,2.941176471,BM0965M,NA,1/20/2017 7:55,0.37,1,2,1,,1,,CO
5,CU_CO_226_BM1401M_27JAN17_R1.txt,CU_CO_226,15074,0,BM1401M,NA,1/25/2017 9:00,0.37,1,2,1,,1,,CO
6,CU_CO_226_BM1486M_6FEB17_R1.txt,CU_CO_226,15074,0.352941176,BM1486M,NA,2/3/2017 10:16,0.37,1,2,1,,2,,CO
7,CU_CO_226_BM1610M_10FEB17_R1.txt,CU_CO_226,15074,0.980392157,BM1610M,NA,2/8/2017 7:36,0.37,1,2,1,,1,,CO
