number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_331_BM0491M_03AUG16_R1.txt,CU_CO_331,15970,8.58000858,BM0491M,NA,8/1/2016 8:02,0.777,1,1,1,,2,multiple repeat spikes in beginning w/o return to baseline,CO
2,CU_CO_331_BM0328M_10Aug16_R1.txt,CU_CO_331,15970,0,BM0328M,NA,8/8/2016 10:29,0.777,1,1,1,,1,,CO
3,CU_CO_331_BM0986M_26SEP16_R1.txt,CU_CO_331,15970,0,BM0986M,NA,9/23/2016 6:45,0.777,1,1,1,,1,,CO
4,CU_CO_331_BM1184M_29SEP16_R1.txt,CU_CO_331,15970,0,BM1184M,NA,9/27/2016 8:01,0.777,1,1,2,,3,large hill not at low CO level,CO
5,CU_CO_331_BM1094M_07OCT16_R1.txt,CU_CO_331,15970,1.287001287,BM1094M,NA,10/5/2016 11:17,0.777,1,1,1,,1,,CO
6,CU_CO_331_BM0619M_12OCT16_R1.txt,CU_CO_331,15970,1.930501931,BM0619M,NA,10/10/2016 8:41,0.777,1,1,1,,1,,CO
7,CU_CO_331_BM0896M_17OCT16_R1.txt,CU_CO_331,15970,0.128700129,BM0896M,NA,10/14/2016 8:14,0.777,1,1,1,,1,,CO
8,CU_CO_331_BM0861M_21OCT16_R1.txt,CU_CO_331,15970,8.687258687,BM0861M,NA,10/19/2016 7:50,0.777,1,1,1,,1,,CO
9,CU_CO_331_BM0234M_31OCT16_R1.txt,CU_CO_331,15970,0,BM0234M,NA,10/28/2016 11:09,0.777,1,1,1,,1,,CO
10,CU_CO_331_BM0263M_03NOV16_R1.txt,CU_CO_331,15970,0.643500644,BM0263M,NA,11/1/2016 9:54,0.777,1,1,1,,1,,CO
11,CU_CO_331_BM1019M_17NOV16_R1.txt,CU_CO_331,15970,0.429000429,BM1019M,NA,11/15/2016 8:27,0.777,1,1,1,,1,,CO
12,CU_CO_331_BM1013M_21NOV16_R1.txt,CU_CO_331,15970,2.252252252,BM1013M,NA,11/18/2016 9:34,0.777,3,1,1,,1,short duration makes spike look wide,CO
13,CU_CO_331_BM1277M_28NOV16_R1.txt,CU_CO_331,15970,7.722007722,BM1277M,NA,11/25/2016 10:48,0.777,1,1,1,,1,,CO
14,CU_CO_331_BM0295M_19DEC16_R1.txt,CU_CO_331,15970,0.643500644,BM0295M,NA,12/16/2016 8:01,0.777,1,1,1,,1,,CO
15,CU_CO_331_BM0524M_22DEC16_R1.txt,CU_CO_331,15970,0.750750751,BM0524M,NA,12/20/2016 10:32,0.777,1,1,1,,1,,CO
16,CU_CO_331_BM0553M_12JAN17_R1.txt,CU_CO_331,15970,3.7001287,BM0553M,NA,1/10/2017 9:31,0.777,3,1,1,,2,initially elevated baseline but small y axis,CO
17,CU_CO_331_BM1475M_10FEB17_R1.txt,CU_CO_331,15970,3.217503218,BM1475M,NA,2/8/2017 8:43,0.777,1,1,1,,1,,CO
