number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_280_BM0336M_05AUG16_R1.txt,CU_CO_280,14962,0,BM0336M,NA,8/3/2016 10:08,0.37,1,2,2,,1,,CO
2,CU_CO_280_BM1330M_17Aug16_R1.txt,CU_CO_280,14962,0,BM1330M,NA,8/15/2016 8:12,0.37,1,2,2,,1,,CO
3,CU_CO_280_BM0584M_16SEP16_R1.txt,CU_CO_280,14962,0,BM0584M,NA,9/14/2016 9:11,0.37,3,2,2,,2,"short duration, peak <1 ppm",CO
4,CU_CO_280_BM0925M_06OCT16_R1.txt,CU_CO_280,14962,0,BM0925M,NA,10/4/2016 8:18,0.37,1,2,2,,2,>36 hrs baseline,CO
5,CU_CO_280_BM0810M_10OCT16_R1.txt,CU_CO_280,14962,0,BM0810M,NA,10/7/2016 9:55,0.37,1,2,2,,1,,CO
