number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_333_BM0783M_17OCT16_R1.txt,CU_CO_333,16098,0.654307525,BM0783M,NA,10/14/2016 9:45,0.917,3,1,1,,1,,CO
2,CU_CO_333_BM0823M_20OCT16_R1.txt,CU_CO_333,16098,1.772082879,BM0823M,NA,10/18/2016 10:09,0.917,1,1,1,,1,,CO
3,CU_CO_333_BM0671M_10NOV16_R1.txt,CU_CO_333,16098,1.090512541,BM0671M,NA,11/8/2016 8:15,0.917,1,1,1,,1,,CO
4,CU_CO_333_BM0658M_14NOV16_R1.csv,CU_CO_333,16098,0.817884406,BM0658M,NA,11/11/2016 8:23,0.917,1,1,1,,1,,CO
5,CU_CO_333_BM1309M_17NOV16_R1.txt,CU_CO_333,16098,0,BM1309M,NA,11/15/2016 7:29,0.917,1,1,1,,1,,CO
6,CU_CO_333_BM1337M_07DEC16_R1.txt,CU_CO_333,16098,1.85387132,BM1337M,NA,12/5/2016 7:27,0.917,1,1,2,,3,ski slopes,CO
