number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_340_BM0947M_26SEP16_R1.txt,CU_CO_340,16106,0,BM0947M,NA,9/23/2016 6:44,0.947,1,1,1,,1,,CO
2,CU_CO_340_BM0874M_29SEP16_R1.txt,CU_CO_340,16106,0,BM0874M,NA,9/27/2016 7:50,0.947,1,1,1,,1,,CO
3,CU_CO_340_BM1417M_03OCT16_R1.txt,CU_CO_340,16106,0,BM1417M,NA,9/30/2016 10:54,0.947,1,1,1,,1,,CO
4,CU_CO_340_BM1017M_07OCT16_R1.txt,CU_CO_340,16106,0,BM1017M,NA,10/5/2016 12:51,0.947,3,1,1,,1,,CO
