number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_324_BM0925M_15Aug16_R1.txt,CU_CO_324,15935,0.372578241,BM0925M,NA,8/12/2016 8:43,0.671,1,1,1,,1,,CO
2,CU_CO_324_BM1123M_18Aug16_R1.txt,CU_CO_324,15935,3.229011426,BM1123M,NA,8/16/2016 8:43,0.671,1,1,1,,1,,CO
3,CU_CO_324_BM0437M_19Sep16_R1.txt,CU_CO_324,15935,7.82414307,BM0437M,NA,9/16/2016 8:27,0.671,1,1,1,,2,>36 hrs flatline,CO
4,CU_CO_324_BM0856M_03OCT16_R1.txt,CU_CO_324,15935,0.248385494,BM0856M,NA,9/30/2016 7:14,0.671,1,1,1,,1,,CO
5,CU_CO_324_BM0533M_07OCT16_R1.txt,CU_CO_324,15935,0,BM0533M,NA,10/5/2016 8:15,0.671,1,1,1,,1,,CO
6,CU_CO_324_BM1086M_28NOV16_R1.txt,CU_CO_324,15935,1.490312966,BM1086M,NA,11/25/2016 9:59,0.671,1,1,1,,1,,CO
7,CU_CO_324_BM0564M_15DEC16_R1.txt,CU_CO_324,15935,0.745156483,BM0564M,NA,12/13/2016 10:04,0.671,1,1,1,,1,,CO
8,CU_CO_324_BM1033M_21DEC16_R1.txt,CU_CO_324,15935,0,BM1033M,NA,12/19/2016 9:46,0.671,1,1,1,,1,,CO
9,CU_CO_324_BM0758M_09JAN17_R1.txt,CU_CO_324,15935,1.117734724,BM0758M,NA,1/6/2017 8:51,0.671,1,1,1,,1,,CO
10,CU_CO_324_BM0799M_12JAN17_R1.txt,CU_CO_324,15935,2.980625931,BM0799M,NA,1/10/2017 11:03,0.671,1,1,1,,1,,CO
11,CU_CO_324_BM1000M_16JAN17_R1.txt,CU_CO_324,15935,0.745156483,BM1000M,NA,1/13/2017 9:37,0.671,1,1,1,,1,,CO
12,CU_CO_324_BM1031M_23JAN17_R1.txt,CU_CO_324,15935,0,BM1031M,NA,1/20/2017 10:16,0.671,1,1,2,,1,small x axis,CO
13,CU_CO_324_BM1527M_2FEB17_R1.txt,CU_CO_324,15935,0.124192747,BM1527M,NA,1/31/2017 10:31,0.671,1,1,1,,1,,CO
14,CU_CO_324_BM1495M_6FEB17_R1.txt,CU_CO_324,15935,7.637853949,BM1495M,NA,2/3/2017 8:50,0.671,1,1,1,,1,,CO
15,CU_CO_324_BM1473M_10FEB17_R1.txt,CU_CO_324,15935,0.124192747,BM1473M,NA,2/8/2017 8:22,0.671,1,1,1,,1,,CO
