number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_322_BM0340M_05AUG16_R1.txt,CU_CO_322,15975,1.913265306,BM0340M,NA,8/3/2016 11:46,0.784,1,1,1,,1,,CO
2,CU_CO_322_BM0835M_Aug16_R1.txt,CU_CO_322,15975,0,BM0835M,NA,8/8/2016 7:07,0.784,1,1,1,,1,,CO
3,CU_CO_322_BM1084M_15Aug16_R1.txt,CU_CO_322,15975,1.147959184,BM1084M,NA,8/12/2016 7:51,0.784,1,1,1,,1,,CO
4,CU_CO_322_BM0525M_18Aug16_R1.txt,CU_CO_322,15975,2.232142857,BM0525M,NA,8/16/2016 7:32,0.784,1,1,1,,1,,CO
5,CU_CO_322_BM0902M_16Sep16_R1.txt,CU_CO_322,15975,0,BM0902M,NA,9/14/2016 8:43,0.784,1,1,1,,1,,CO
6,CU_CO_322_BM0858M_29SEP16_R1.txt,CU_CO_322,15975,0.797193878,BM0858M,NA,9/27/2016 12:27,0.784,1,1,1,,1,,CO
7,CU_CO_322_BM1348M_03OCT16_R1.txt,CU_CO_322,15975,0,BM1348M,NA,9/30/2016 10:19,0.784,1,1,1,,1,,CO
8,CU_CO_322_BM1224M_06OCT16_R1.txt,CU_CO_322,15975,0,BM1224M,NA,10/4/2016 7:26,0.784,1,1,1,,1,,CO
9,CU_CO_322_BM0895M_17OCT16_R1.txt,CU_CO_322,15975,0,BM0895M,NA,10/14/2016 7:24,0.784,3,1,1,,1,,CO
10,CU_CO_322_BM0602M_14NOV16_R1.txt,CU_CO_322,15975,2.551020408,BM0602M,NA,11/11/2016 8:47,0.784,1,1,2,,2,>36 hrs flatline,CO
11,CU_CO_322_BM1048M_17NOV16_R1.txt,CU_CO_322,15975,0,BM1048M,NA,11/15/2016 8:24,0.784,1,1,1,,1,,CO
12,CU_CO_322_BM0335M_21NOV16_R1.txt,CU_CO_322,15975,0,BM0335M,NA,11/18/2016 8:29,0.784,1,1,1,,2,>36 hrs flatline,CO
13,CU_CO_322_BM1160M_16DEC16_R1.txt,CU_CO_322,15975,2.232142857,BM1160M,NA,12/14/2016 8:31,0.784,1,1,1,,1,,CO
14,CU_CO_322_BM1381M_21DEC16_R1.txt,CU_CO_322,15975,0,BM1381M,NA,12/19/2016 8:56,0.784,1,1,1,,2,>36 hrs flatline,CO
15,CU_CO_322_BM0796M_12JAN17_R1.txt,CU_CO_322,15975,0,BM0796M,NA,1/10/2017 8:15,0.784,1,1,1,,1,,CO
16,CU_CO_322_BM1215M_16JAN17_R1.txt,CU_CO_322,15975,0,BM1215M,NA,1/13/2017 8:13,0.784,1,1,1,,1,,CO
17,CU_CO_322_BM1199M_18JAN17_R1.txt,CU_CO_322,15975,0,BM1199M,NA,1/16/2017 9:55,0.784,1,1,2,,3,hill,CO
18,CU_CO_322_BM1267M_23JAN17_R1.txt,CU_CO_322,15975,2.391581633,BM1267M,NA,1/20/2017 8:20,0.784,1,1,2,,2,>36 hrs flatline,CO
19,CU_CO_322_BM1491M_03FEB17_R1.txt,CU_CO_322,15975,0,BM1491M,NA,2/1/2017 7:25,0.784,3,1,2,,2,prolonged flatline,CO
20,CU_CO_322_BM1335M_08FEB17_R1.txt,CU_CO_322,15975,0,BM1335M,NA,2/6/2017 12:04,0.784,3,1,2,,3,flatline,CO
