number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_307_BM1418M_28SEP16_R1.txt,CU_CO_307,15884,0,BM1418M,NA,9/26/2016 7:24,0.516,3,2,2,,3,only flatline,CO
2,CU_CO_307_BM0302M_07OCT16_R1.txt,CU_CO_307,15884,1.960784314,BM0302M,NA,10/5/2016 7:24,0.516,1,2,1,,1,,CO
3,CU_CO_307_BM1016M_13OCT16_R1.txt,CU_CO_307,15884,1.176470588,BM1016M,NA,10/11/2016 9:24,0.516,1,2,1,,1,,CO
4,CU_CO_307_BM1026M_24Oct16_R1.txt,CU_CO_307,15884,0.490196078,BM1026M,NA,10/21/2016 10:10,0.516,1,2,1,,1,,CO
5,CU_CO_307BM0345M_27OCT16_R1.txt,CU_CO_307,15884,0,BM0345M,NA,10/25/2016 7:58,0.516,1,2,1,,1,,CO
6,CU_CO_307_BM1295M_31OCT16_R1.txt,CU_CO_307,15884,0,BM1295M,NA,10/28/2016 8:49,0.516,1,2,1,,1,,CO
7,CU_CO_307_BM0432M_03NOV16_R1.txt,CU_CO_307,15884,0.588235294,BM0432M,NA,11/1/2016 10:41,0.516,1,2,1,,1,,CO
8,CU_CO_307_BM0457M_18Nov16_R1.txt.txt,CU_CO_307,15884,1.176470588,BM0457M,NA,11/16/2016 7:41,0.516,1,2,1,,1,,CO
9,CU_CO_307_BM1126M_23NOV16_R1.txt,CU_CO_307,15884,0,BM1126M,NA,11/21/2016 7:55,0.516,1,2,1,,1,,CO
10,CU_CO_307_BM0787M_28NOV16_R1.txt,CU_CO_307,15884,0,BM0787M,NA,11/25/2016 7:32,0.516,3,2,1,,1,,CO
11,CU_CO_307_BM0460M_15DEC16_R1.txt,CU_CO_307,15884,0.441176471,BM0460M,NA,12/13/2016 8:28,0.516,1,2,1,,1,,CO
