number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_222_BM0860M_19OCT16_R1.txt,CU_CO_222,15027,0,BM0860M,NA,10/17/2016 9:13,0.156,1,3,1,,1,,CO
2,CU_CO_222_BM0347M_26Oct16_R1.txt,CU_CO_222,15027,0,BM0347M,NA,10/24/2016 9:01,0.156,1,3,2,,1,,CO
3,CU_CO_222_BM0802M_31OCT16_R1.txt,CU_CO_222,15027,0,BM0802M,NA,10/28/2016 10:26,0.156,1,3,2,,1,,CO
4,CU_CO_222_BM0691M_28NOV16_R1.txt,CU_CO_222,15027,0,BM0691M,NA,11/25/2016 12:13,0.156,1,3,2,,2,>36 hrs with CO at 0,CO
