number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_309_BM0651M_07DEC16_R1.txt,CU_CO_309,15890,1.382743363,BM0651M,NA,12/5/2016 8:01,0.904,3,1,1,,1,,CO
2,CU_CO_309_BM1150M_15DEC16_R1.txt,CU_CO_309,15890,0,BM1150M,NA,12/13/2016 9:07,0.904,1,1,1,,1,,CO
3,CU_CO_309_BM1120M_19DEC16_R1.txt,CU_CO_309,15890,0,BM1120M,NA,12/16/2016 7:22,0.904,1,1,1,,2,>36 hrs flatline,CO
4,CU_CO_309_BM0085M_22DEC16_R1.txt,CU_CO_309,15890,0,BM0085M,NA,12/20/2016 9:18,0.904,1,1,1,,1,,CO
5,CU_CO_309_BM0924M_06JAN17_R1.txt,CU_CO_309,15890,0,BM0924M,NA,1/4/2017 7:50,0.904,1,1,1,,1,,CO
6,CU_CO_309_BM1008M_11JAN17_R1.txt,CU_CO_309,15890,0,BM1008M,NA,1/9/2017 10:22,0.904,1,1,1,,1,,CO
7,CU_CO_309_BM0755M_18JAN17_R1.txt,CU_CO_309,15890,0.553097345,BM0755M,NA,1/13/2017 9:38,0.904,1,1,1,,1,,CO
8,CU_CO_309_BM0301M_23JAN17_R1.txt,CU_CO_309,15890,8.57300885,BM0301M,NA,1/20/2017 11:04,0.904,1,1,1,,1,,CO
9,CU_CO_309_BM1484M_10FEB17_R1.txt,CU_CO_309,15890,0,BM1484M,NA,2/8/2017 11:55,0.904,1,1,1,,1,,CO
10,CU_CO_309_BM1549M_14FEB17_R1.txt,CU_CO_309,15890,0,BM1549M,NA,2/12/2017 6:37,0.904,1,1,2,,1,,CO
