number,file,lascar,SN,co_corr,mstudyid,cstudyid,datetime,cf,duration_valid,cf_valid,co_valid_init,NEW_CF,CO_VALID,NOTES,Validated.by
1,CU_CO_284_BM1250M_29SEP16_R1.txt,CU_CO_284,15042,0,BM1250M,NA,9/27/2016 8:32,0.202,1,2,2,,2,>36 hrs flatline,CO
2,CU_CO_284_BM0761M_03OCT16_R1.txt,CU_CO_284,15042,0,BM0761M,NA,9/30/2016 7:47,0.202,1,2,1,,1,,CO
3,CU_CO_284_BM0525M_06OCT16_R1.txt,CU_CO_284,15042,0,BM0525M,NA,10/4/2016 8:09,0.202,1,2,2,,2,>36 hrs flatline,CO
4,CU_CO_284_BM0562M_10OCT16_R1.txt,CU_CO_284,15042,0,BM0562M,NA,10/7/2016 7:27,0.202,1,2,2,,2,>36 hrs flatline,CO
5,CU_CO_284_BM0467M_15DEC16_R1.txt,CU_CO_284,15042,0,BM0467M,NA,12/13/2016 7:58,0.202,1,2,1,,1,,CO
6,CU_CO_284_BM0167M_21DEC16_R1.txt,CU_CO_284,15042,0,BM0167M,NA,12/19/2016 8:15,0.202,1,2,1,,1,,CO
